practice_code,region,registered_patients,gp_fte
A84008,"North East and Yorkshire",4495,5.07
A84009,"North East and Yorkshire",27046,16.11
A84011,"North East and Yorkshire",8641,4.31
A84013,"North East and Yorkshire",6310,4.43
A84014,"North East and Yorkshire",13702,9.60
A84016,"North East and Yorkshire",6929,4.71
A84018,"North East and Yorkshire",7303,8.62
A84020,"North East and Yorkshire",8043,6.09
A84022,"North East and Yorkshire",12163,10.16
A84024,"North East and Yorkshire",10419,10.85
A84025,"North East and Yorkshire",5389,2.96
A84026,"North East and Yorkshire",9198,4.48
A84027,"North East and Yorkshire",3435,3.70
A84028,"North East and Yorkshire",19728,10.88
A84029,"North East and Yorkshire",4587,5.29
A84030,"North East and Yorkshire",11277,12.89
A84031,"North East and Yorkshire",10703,3.74
A84033,"North East and Yorkshire",5839,5.88
A84034,"North East and Yorkshire",5556,6.00
A84035,"North East and Yorkshire",5964,4.04
A84036,"North East and Yorkshire",49636,28.18
A84037,"North East and Yorkshire",5993,2.69
A84038,"North East and Yorkshire",8983,4.65
A84039,"North East and Yorkshire",7160,5.23
A84040,"North East and Yorkshire",3424,2.15
A84042,"North East and Yorkshire",2151,1.45
A84044,"North East and Yorkshire",7177,4.70
A84045,"North East and Yorkshire",5259,4.80
A84047,"North East and Yorkshire",5404,5.14
A84604,"North East and Yorkshire",4878,6.67
A84614,"North East and Yorkshire",2181,1.33
A84619,"North East and Yorkshire",4296,2.48
A85001,"North East and Yorkshire",7524,9.66
A85002,"North East and Yorkshire",3875,0.99
A85004,"North East and Yorkshire",10203,9.68
A85005,"North East and Yorkshire",17814,18.34
A85006,"North East and Yorkshire",9064,6.81
A85007,"North East and Yorkshire",8668,6.96
A85008,"North East and Yorkshire",15293,14.68
A85009,"North East and Yorkshire",6445,1.03
A85010,"North East and Yorkshire",11523,6.09
A85011,"North East and Yorkshire",7289,6.16
A85013,"North East and Yorkshire",3916,0.21
A85014,"North East and Yorkshire",20342,8.49
A85016,"North East and Yorkshire",12144,12.37
A85017,"North East and Yorkshire",8276,4.92
A85018,"North East and Yorkshire",4779,4.40
A85019,"North East and Yorkshire",10616,9.12
A85020,"North East and Yorkshire",15651,8.80
A85021,"North East and Yorkshire",4697,2.09
A85023,"North East and Yorkshire",5448,7.07
A85024,"North East and Yorkshire",2566,3.23
A85026,"North East and Yorkshire",5700,6.11
A85611,"North East and Yorkshire",5512,2.94
A85614,"North East and Yorkshire",8184,6.62
A85616,"North East and Yorkshire",4880,2.53
A85617,"North East and Yorkshire",3855,1.88
A86003,"North East and Yorkshire",42732,21.76
A86004,"North East and Yorkshire",14910,5.58
A86005,"North East and Yorkshire",6040,5.20
A86006,"North East and Yorkshire",5821,6.51
A86008,"North East and Yorkshire",13234,9.10
A86010,"North East and Yorkshire",10712,8.68
A86011,"North East and Yorkshire",10663,7.50
A86012,"North East and Yorkshire",12454,6.30
A86013,"North East and Yorkshire",7429,3.59
A86016,"North East and Yorkshire",9496,6.94
A86017,"North East and Yorkshire",11636,7.50
A86018,"North East and Yorkshire",13182,12.11
A86020,"North East and Yorkshire",27401,16.18
A86021,"North East and Yorkshire",10115,9.09
A86022,"North East and Yorkshire",8446,7.02
A86023,"North East and Yorkshire",10304,10.46
A86024,"North East and Yorkshire",7252,5.43
A86025,"North East and Yorkshire",13688,6.73
A86026,"North East and Yorkshire",7371,6.25
A86027,"North East and Yorkshire",21838,5.05
A86028,"North East and Yorkshire",7591,2.46
A86029,"North East and Yorkshire",20504,12.93
A86030,"North East and Yorkshire",10837,2.96
A86031,"North East and Yorkshire",10790,5.82
A86033,"North East and Yorkshire",8330,5.60
A86036,"North East and Yorkshire",0,7.42
A86037,"North East and Yorkshire",8239,3.83
A86038,"North East and Yorkshire",6177,6.00
A86040,"North East and Yorkshire",6719,5.03
A86041,"North East and Yorkshire",6699,4.92
A86601,"North East and Yorkshire",9087,4.48
A87002,"North East and Yorkshire",5980,5.76
A87004,"North East and Yorkshire",24517,17.21
A87005,"North East and Yorkshire",13525,8.55
A87006,"North East and Yorkshire",5821,3.19
A87007,"North East and Yorkshire",17855,10.34
A87008,"North East and Yorkshire",8809,4.77
A87009,"North East and Yorkshire",15420,11.26
A87011,"North East and Yorkshire",6443,2.80
A87012,"North East and Yorkshire",7550,5.76
A87013,"North East and Yorkshire",9333,5.11
A87016,"North East and Yorkshire",12792,12.61
A87017,"North East and Yorkshire",6587,3.97
A87019,"North East and Yorkshire",4952,2.25
A87020,"North East and Yorkshire",13281,10.39
A87022,"North East and Yorkshire",9584,4.82
A87029,"North East and Yorkshire",20957,15.76
A87030,"North East and Yorkshire",6238,7.40
A87600,"North East and Yorkshire",4836,3.32
A87612,"North East and Yorkshire",6488,4.92
A87615,"North East and Yorkshire",5454,4.51
A88001,"North East and Yorkshire",3654,2.67
A88002,"North East and Yorkshire",16932,9.86
A88003,"North East and Yorkshire",22828,12.91
A88004,"North East and Yorkshire",9047,6.75
A88005,"North East and Yorkshire",4450,2.34
A88006,"North East and Yorkshire",7835,3.91
A88008,"North East and Yorkshire",6431,2.95
A88009,"North East and Yorkshire",6020,5.49
A88010,"North East and Yorkshire",3398,2.48
A88012,"North East and Yorkshire",6058,4.15
A88013,"North East and Yorkshire",19181,13.10
A88014,"North East and Yorkshire",2879,1.00
A88015,"North East and Yorkshire",7418,2.00
